sample_id,user_id,item_id,seed_999_strict_label,seed_999_confidence_tier,seed_999_tiered_label,seed_2026_strict_label,seed_2026_confidence_tier,seed_2026_tiered_label,seed_3407_strict_label,seed_3407_confidence_tier,seed_3407_tiered_label,cross_seed_A_label,cross_seed_A_or_B_label,contrast_median,contrast_mean,contrast_mad,text_direction_votes,image_direction_votes,tie_votes,majority_direction_fraction,continuous_direction,measurements,user_bucket,cohort
baby-u3973-i721,3973,721,image,A,image,image,A,image,image,A,image,image,image,-0.339092873,-0.381164379,0.183905424,0,21,0,1,image,21,0,prompt_development
baby-u4328-i3512,4328,3512,text,A,text,text,A,text,text,A,text,text,text,0.6,0.592554839,0.114285714,21,0,0,1,text,21,0,prompt_development
baby-u4889-i732,4889,732,image,A,image,image,A,image,image,A,image,image,image,-0.686956522,-0.606798323,0.191027563,0,21,0,1,image,21,0,prompt_development
baby-u5148-i5704,5148,5704,text,A,text,text,A,text,text,A,text,text,text,1,0.95861678,0,21,0,0,1,text,21,0,prompt_development
baby-u5824-i6491,5824,6491,text,A,text,text,A,text,text,A,text,text,text,0.826086957,0.767802579,0.121281465,21,0,0,1,text,21,0,prompt_development
baby-u5892-i6096,5892,6096,text,A,text,text,A,text,text,A,text,text,text,0.883381924,0.782895609,0.0588146076,21,0,0,1,text,21,0,prompt_development
baby-u6075-i2228,6075,2228,text,A,text,text,A,text,text,A,text,text,text,0.810012837,0.672708025,0.110369329,21,0,0,1,text,21,0,prompt_development
baby-u6091-i667,6091,667,text,A,text,text,A,text,text,A,text,text,text,0.571428571,0.648650761,0.166071429,21,0,0,1,text,21,0,prompt_development
baby-u6160-i5889,6160,5889,text,A,text,text,A,text,text,A,text,text,text,0.724550898,0.730789143,0.08772347,21,0,0,1,text,21,0,prompt_development
baby-u6963-i3844,6963,3844,text,A,text,text,A,text,text,A,text,text,text,0.870967742,0.860251587,0.0684261975,21,0,0,1,text,21,0,prompt_development
baby-u7442-i4352,7442,4352,text,A,text,text,A,text,text,A,text,text,text,0.684210526,0.579703226,0.0842105263,21,0,0,1,text,21,0,prompt_development
baby-u7442-i6973,7442,6973,text,A,text,text,A,text,text,A,text,text,text,0.684210526,0.690313046,0.133971292,21,0,0,1,text,21,0,prompt_development
baby-u7762-i3765,7762,3765,text,A,text,text,A,text,text,A,text,text,text,0.727272727,0.718107538,0.212121212,21,0,0,1,text,21,0,prompt_development
baby-u7850-i6125,7850,6125,text,A,text,text,A,text,text,A,text,text,text,0.655172414,0.516027842,0.219274978,21,0,0,1,text,21,0,prompt_development
baby-u8071-i2501,8071,2501,image,A,image,image,A,image,image,A,image,image,image,-0.76744186,-0.704996241,0.164761529,0,21,0,1,image,21,0,prompt_development
baby-u8609-i1277,8609,1277,text,A,text,text,A,text,text,A,text,text,text,0.517857143,0.523116354,0.179621849,21,0,0,1,text,21,0,prompt_development
baby-u9177-i6741,9177,6741,text,A,text,text,A,text,text,A,text,text,text,0.876777251,0.833861761,0.0808588838,21,0,0,1,text,21,0,prompt_development
baby-u9251-i3908,9251,3908,text,A,text,text,A,text,text,A,text,text,text,0.820816864,0.820221098,0.0917019894,21,0,0,1,text,21,0,prompt_development
baby-u9332-i3031,9332,3031,text,A,text,text,A,text,text,A,text,text,text,1,0.846712018,0,21,0,0,1,text,21,0,prompt_development
baby-u9500-i6744,9500,6744,text,A,text,text,A,text,text,A,text,text,text,0.7,0.687224056,0.162068966,21,0,0,1,text,21,0,prompt_development
baby-u9660-i5704,9660,5704,text,A,text,text,A,text,text,A,text,text,text,0.733333333,0.719993752,0.0761904762,21,0,0,1,text,21,0,prompt_development
baby-u9808-i6126,9808,6126,text,A,text,text,A,text,text,A,text,text,text,0.666666667,0.648920737,0.222222222,21,0,0,1,text,21,0,prompt_development
baby-u9815-i631,9815,631,text,A,text,text,A,text,text,A,text,text,text,0.457142857,0.469656919,0.0543075245,21,0,0,1,text,21,0,prompt_development
baby-u9826-i2089,9826,2089,image,A,image,image,A,image,image,A,image,image,image,-0.6,-0.595159074,0.1,0,21,0,1,image,21,0,prompt_development
baby-u9930-i639,9930,639,image,A,image,image,A,image,image,A,image,image,image,-0.797468354,-0.756273612,0.112075096,0,21,0,1,image,21,0,prompt_development
baby-u9993-i5808,9993,5808,text,A,text,text,A,text,text,A,text,text,text,0.777777778,0.708609138,0.126984127,21,0,0,1,text,21,0,prompt_development
baby-u10476-i6765,10476,6765,text,A,text,text,A,text,text,A,text,text,text,0.675675676,0.686126188,0.104247104,21,0,0,1,text,21,0,prompt_development
baby-u10860-i4586,10860,4586,text,A,text,text,A,text,text,A,text,text,text,0.833333333,0.786528816,0.1,21,0,0,1,text,21,0,prompt_development
baby-u11189-i5486,11189,5486,text,A,text,text,A,text,text,A,text,text,text,0.735632184,0.632007522,0.16821397,21,0,0,1,text,21,0,prompt_development
baby-u11490-i6875,11490,6875,text,A,text,text,A,text,text,A,text,text,text,0.666666667,0.598638524,0.122807018,21,0,0,1,text,21,0,prompt_development
baby-u13150-i6456,13150,6456,text,A,text,text,A,text,text,A,text,text,text,0.791411043,0.751271818,0.160588957,21,0,0,1,text,21,0,prompt_development
baby-u14177-i6095,14177,6095,text,A,text,text,A,text,text,A,text,text,text,0.770491803,0.702474348,0.138599106,21,0,0,1,text,21,0,prompt_development
baby-u14578-i5848,14578,5848,text,A,text,text,A,text,text,A,text,text,text,0.556034483,0.609695768,0.154967159,21,0,0,1,text,21,0,prompt_development
baby-u14902-i3338,14902,3338,text,A,text,text,A,text,text,A,text,text,text,0.641025641,0.652554801,0.134852802,21,0,0,1,text,21,0,prompt_development
baby-u15113-i6744,15113,6744,text,A,text,text,A,text,text,A,text,text,text,0.540925267,0.523388043,0.104789019,21,0,0,1,text,21,0,prompt_development
baby-u15198-i4096,15198,4096,text,A,text,text,A,text,text,A,text,text,text,0.446327684,0.477658454,0.260196297,21,0,0,1,text,21,0,prompt_development
baby-u15240-i2591,15240,2591,text,A,text,text,A,text,text,A,text,text,text,1,0.935884499,0,21,0,0,1,text,21,0,prompt_development
baby-u15527-i1308,15527,1308,text,A,text,text,A,text,text,A,text,text,text,0.574468085,0.59376003,0.105531915,21,0,0,1,text,21,0,prompt_development
baby-u15556-i1309,15556,1309,text,A,text,text,A,text,text,A,text,text,text,0.705882353,0.68695808,0.183948156,21,0,0,1,text,21,0,prompt_development
baby-u15655-i6433,15655,6433,text,A,text,text,A,text,text,A,text,text,text,0.880597015,0.876916323,0.0578122048,21,0,0,1,text,21,0,prompt_development
baby-u15843-i5512,15843,5512,text,A,text,text,A,text,text,A,text,text,text,0.866666667,0.876062539,0.0592592593,21,0,0,1,text,21,0,prompt_development
baby-u16044-i6851,16044,6851,text,A,text,text,A,text,text,A,text,text,text,0.878787879,0.85327671,0.0623885918,21,0,0,1,text,21,0,prompt_development
baby-u16164-i2157,16164,2157,text,A,text,text,A,text,text,A,text,text,text,0.866666667,0.857554288,0.133333333,21,0,0,1,text,21,0,prompt_development
baby-u16182-i6387,16182,6387,text,A,text,text,A,text,text,A,text,text,text,0.772815534,0.78325714,0.1204229,21,0,0,1,text,21,0,prompt_development
baby-u16572-i4781,16572,4781,text,A,text,text,A,text,text,A,text,text,text,0.846153846,0.845267504,0.153846154,21,0,0,1,text,21,0,prompt_development
baby-u16600-i6812,16600,6812,text,A,text,text,A,text,text,A,text,text,text,0.807228916,0.82172224,0.0884789157,21,0,0,1,text,21,0,prompt_development
baby-u16636-i4160,16636,4160,text,A,text,text,A,text,text,A,text,text,text,0.659574468,0.578578094,0.194084069,21,0,0,1,text,21,0,prompt_development
baby-u16685-i4825,16685,4825,text,A,text,text,A,text,text,A,text,text,text,0.6,0.554790968,0.15,21,0,0,1,text,21,0,prompt_development
baby-u17257-i3531,17257,3531,text,A,text,text,A,text,text,A,text,text,text,0.878594249,0.815228063,0.0797390841,21,0,0,1,text,21,0,prompt_development
baby-u17468-i4878,17468,4878,text,A,text,text,A,text,text,A,text,text,text,0.8,0.783218794,0.2,21,0,0,1,text,21,0,prompt_development
baby-u17886-i5412,17886,5412,text,A,text,text,A,text,text,A,text,text,text,0.614457831,0.561686896,0.131591788,21,0,0,1,text,21,0,prompt_development
baby-u17903-i2272,17903,2272,text,A,text,text,A,text,text,A,text,text,text,0.851851852,0.773452026,0.0621266428,21,0,0,1,text,21,0,prompt_development
baby-u18036-i6555,18036,6555,text,A,text,text,A,text,text,A,text,text,text,0.772727273,0.750597181,0.0970515971,21,0,0,1,text,21,0,prompt_development
baby-u18127-i4410,18127,4410,text,A,text,text,A,text,text,A,text,text,text,0.821428571,0.830747715,0.0806878307,21,0,0,1,text,21,0,prompt_development
baby-u18269-i6258,18269,6258,text,A,text,text,A,text,text,A,text,text,text,0.592592593,0.55682011,0.201084612,21,0,0,1,text,21,0,prompt_development
baby-u18329-i2792,18329,2792,text,A,text,text,A,text,text,A,text,text,text,0.62962963,0.641430661,0.105820106,21,0,0,1,text,21,0,prompt_development
baby-u18983-i3378,18983,3378,text,A,text,text,A,text,text,A,text,text,text,0.841269841,0.805705919,0.0634920635,21,0,0,1,text,21,0,prompt_development
baby-u19077-i3842,19077,3842,text,A,text,text,A,text,text,A,text,text,text,0.573997234,0.585548262,0.183117755,21,0,0,1,text,21,0,prompt_development
baby-u19085-i4305,19085,4305,text,A,text,text,A,text,text,A,text,text,text,0.898197243,0.892262676,0.0477299531,21,0,0,1,text,21,0,prompt_development
baby-u19205-i4641,19205,4641,text,A,text,text,A,text,text,A,text,text,text,0.866666667,0.851623416,0.0619047619,21,0,0,1,text,21,0,prompt_development
baby-u19306-i4644,19306,4644,text,A,text,text,A,text,text,A,text,text,text,0.942857143,0.900628138,0.0571428571,21,0,0,1,text,21,0,prompt_development
baby-u12-i2759,12,2759,text,A,text,text,A,text,text,A,text,text,text,0.833333333,0.695807502,0.0714285714,21,0,0,1,text,21,6,primary_confirmatory
baby-u18-i5365,18,5365,text,A,text,text,A,text,text,A,text,text,text,0.739130435,0.686358623,0.154202899,21,0,0,1,text,21,7,primary_confirmatory
baby-u28-i3725,28,3725,image,A,image,image,A,image,image,A,image,image,image,-0.338461538,-0.406645087,0.150953156,0,21,0,1,image,21,2,primary_confirmatory
baby-u35-i3242,35,3242,text,A,text,text,A,text,text,A,text,text,text,0.52173913,0.516993235,0.153318078,21,0,0,1,text,21,5,primary_confirmatory
baby-u103-i5846,103,5846,text,A,text,text,A,text,text,A,text,text,text,0.872093023,0.803350952,0.0966544268,21,0,0,1,text,21,6,primary_confirmatory
baby-u107-i5597,107,5597,text,A,text,text,A,text,text,A,text,text,text,0.64983165,0.64176597,0.129318829,21,0,0,1,text,21,5,primary_confirmatory
baby-u112-i365,112,365,image,A,image,image,A,image,image,A,image,image,image,-0.6875,-0.642524217,0.183467742,0,21,0,1,image,21,1,primary_confirmatory
baby-u113-i5512,113,5512,text,A,text,text,A,text,text,A,text,text,text,0.882352941,0.822225327,0.0343137255,21,0,0,1,text,21,7,primary_confirmatory
baby-u137-i126,137,126,text,A,text,text,A,text,text,A,text,text,text,0.571428571,0.544015589,0.108571429,21,0,0,1,text,21,7,primary_confirmatory
baby-u151-i62,151,62,text,A,text,text,A,text,text,A,text,text,text,0.777777778,0.721632262,0.0935672515,21,0,0,1,text,21,4,primary_confirmatory
baby-u160-i70,160,70,text,A,text,text,A,text,text,A,text,text,text,0.384615385,0.495255885,0.153846154,21,0,0,1,text,21,2,primary_confirmatory
baby-u194-i126,194,126,text,A,text,text,A,text,text,A,text,text,text,0.555555556,0.511259215,0.0873015873,21,0,0,1,text,21,9,primary_confirmatory
baby-u219-i6661,219,6661,text,A,text,text,A,text,text,A,text,text,text,0.777777778,0.674709239,0.111111111,21,0,0,1,text,21,9,primary_confirmatory
baby-u229-i175,229,175,image,A,image,image,A,image,image,A,image,image,image,-0.333333333,-0.410155903,0.19047619,0,21,0,1,image,21,2,primary_confirmatory
baby-u263-i74,263,74,text,A,text,text,A,text,text,A,text,text,text,0.666666667,0.714061335,0.0833333333,21,0,0,1,text,21,4,primary_confirmatory
baby-u271-i75,271,75,text,A,text,text,A,text,text,A,text,text,text,0.6,0.583674592,0.1,21,0,0,1,text,21,5,primary_confirmatory
baby-u291-i106,291,106,image,A,image,image,A,image,image,A,image,image,image,-0.62962963,-0.603111851,0.155945419,0,21,0,1,image,21,4,primary_confirmatory
baby-u309-i290,309,290,text,A,text,text,A,text,text,A,text,text,text,0.846153846,0.708407278,0.153846154,21,0,0,1,text,21,5,primary_confirmatory
baby-u313-i240,313,240,text,A,text,text,A,text,text,A,text,text,text,0.857142857,0.845139589,0.0536435301,21,0,0,1,text,21,5,primary_confirmatory
baby-u406-i2326,406,2326,text,A,text,text,A,text,text,A,text,text,text,0.818181818,0.764708901,0.106818182,21,0,0,1,text,21,9,primary_confirmatory
baby-u406-i2406,406,2406,text,A,text,text,A,text,text,A,text,text,text,0.379310345,0.370347825,0.148467433,21,0,0,1,text,21,9,primary_confirmatory
baby-u420-i69,420,69,text,A,text,text,A,text,text,A,text,text,text,0.906976744,0.884731665,0.0538075695,21,0,0,1,text,21,8,primary_confirmatory
baby-u440-i14,440,14,text,A,text,text,A,text,text,A,text,text,text,0.736842105,0.71906761,0.10629515,21,0,0,1,text,21,2,primary_confirmatory
baby-u492-i5635,492,5635,text,A,text,text,A,text,text,A,text,text,text,0.810218978,0.711234279,0.110310823,21,0,0,1,text,21,3,primary_confirmatory
baby-u531-i6543,531,6543,text,A,text,text,A,text,text,A,text,text,text,0.843478261,0.789027089,0.0947933441,21,0,0,1,text,21,4,primary_confirmatory
baby-u545-i126,545,126,text,A,text,text,A,text,text,A,text,text,text,0.375,0.359700567,0.158333333,21,0,0,1,text,21,6,primary_confirmatory
baby-u659-i5996,659,5996,text,A,text,text,A,text,text,A,text,text,text,0.756838906,0.721300416,0.151836893,21,0,0,1,text,21,7,primary_confirmatory
baby-u660-i4386,660,4386,text,A,text,text,A,text,text,A,text,text,text,0.754212091,0.697193786,0.117832415,21,0,0,1,text,21,7,primary_confirmatory
baby-u678-i6543,678,6543,text,A,text,text,A,text,text,A,text,text,text,0.571428571,0.560089963,0.134453782,21,0,0,1,text,21,5,primary_confirmatory
baby-u738-i4245,738,4245,text,A,text,text,A,text,text,A,text,text,text,0.773584906,0.683292239,0.126415094,21,0,0,1,text,21,1,primary_confirmatory
baby-u784-i580,784,580,text,A,text,text,A,text,text,A,text,text,text,0.763546798,0.778253353,0.11232064,21,0,0,1,text,21,7,primary_confirmatory
baby-u872-i576,872,576,text,A,text,text,A,text,text,A,text,text,text,0.542087542,0.54250329,0.186407082,21,0,0,1,text,21,7,primary_confirmatory
baby-u918-i86,918,86,text,A,text,text,A,text,text,A,text,text,text,0.731958763,0.664831782,0.143723469,21,0,0,1,text,21,7,primary_confirmatory
baby-u938-i3461,938,3461,text,A,text,text,A,text,text,A,text,text,text,0.569620253,0.617596619,0.248561565,21,0,0,1,text,21,6,primary_confirmatory
baby-u960-i6240,960,6240,text,A,text,text,A,text,text,A,text,text,text,0.825242718,0.770863618,0.0968476567,21,0,0,1,text,21,3,primary_confirmatory
baby-u1009-i491,1009,491,text,A,text,text,A,text,text,A,text,text,text,0.627906977,0.57571041,0.144036009,21,0,0,1,text,21,7,primary_confirmatory
baby-u1082-i2346,1082,2346,text,A,text,text,A,text,text,A,text,text,text,0.695652174,0.573687844,0.264347826,21,0,0,1,text,21,1,primary_confirmatory
baby-u1082-i5808,1082,5808,text,A,text,text,A,text,text,A,text,text,text,0.757575758,0.720172323,0.124777184,21,0,0,1,text,21,1,primary_confirmatory
baby-u1114-i290,1114,290,text,A,text,text,A,text,text,A,text,text,text,0.571428571,0.568657261,0.238095238,21,0,0,1,text,21,7,primary_confirmatory
baby-u1171-i970,1171,970,text,A,text,text,A,text,text,A,text,text,text,0.788617886,0.709622142,0.131382114,21,0,0,1,text,21,8,primary_confirmatory
baby-u1185-i6095,1185,6095,text,A,text,text,A,text,text,A,text,text,text,0.556886228,0.552861345,0.0694873988,21,0,0,1,text,21,4,primary_confirmatory
baby-u1208-i4294,1208,4294,text,A,text,text,A,text,text,A,text,text,text,0.628,0.673789138,0.12755713,21,0,0,1,text,21,8,primary_confirmatory
baby-u1218-i5510,1218,5510,text,A,text,text,A,text,text,A,text,text,text,0.661538462,0.630132854,0.14255112,21,0,0,1,text,21,1,primary_confirmatory
baby-u1297-i94,1297,94,text,A,text,text,A,text,text,A,text,text,text,1,0.769614512,0,21,0,0,1,text,21,7,primary_confirmatory
baby-u1323-i925,1323,925,text,A,text,text,A,text,text,A,text,text,text,0.825,0.716286829,0.147222222,21,0,0,1,text,21,6,primary_confirmatory
baby-u1335-i4900,1335,4900,text,A,text,text,A,text,text,A,text,text,text,0.6,0.597650116,0.15,21,0,0,1,text,21,5,primary_confirmatory
baby-u1391-i6233,1391,6233,text,A,text,text,A,text,text,A,text,text,text,0.688073394,0.683828707,0.134675336,21,0,0,1,text,21,7,primary_confirmatory
baby-u1420-i4399,1420,4399,text,A,text,text,A,text,text,A,text,text,text,0.818181818,0.862187905,0.064171123,21,0,0,1,text,21,1,primary_confirmatory
baby-u1432-i53,1432,53,text,A,text,text,A,text,text,A,text,text,text,1,0.895918367,0,21,0,0,1,text,21,5,primary_confirmatory
baby-u1433-i2591,1433,2591,text,A,text,text,A,text,text,A,text,text,text,0.634615385,0.639565875,0.151282051,21,0,0,1,text,21,3,primary_confirmatory
baby-u1478-i53,1478,53,text,A,text,text,A,text,text,A,text,text,text,0.75,0.692970522,0.25,21,0,0,1,text,21,3,primary_confirmatory
baby-u1479-i904,1479,904,text,A,text,text,A,text,text,A,text,text,text,0.818181818,0.774604856,0.181818182,21,0,0,1,text,21,3,primary_confirmatory
baby-u1512-i885,1512,885,text,A,text,text,A,text,text,A,text,text,text,0.591591592,0.553161012,0.118685188,21,0,0,1,text,21,1,primary_confirmatory
baby-u1562-i1339,1562,1339,text,A,text,text,A,text,text,A,text,text,text,0.798165138,0.75807041,0.101834862,21,0,0,1,text,21,7,primary_confirmatory
baby-u1574-i2320,1574,2320,text,A,text,text,A,text,text,A,text,text,text,0.826086957,0.787994688,0.0836627141,21,0,0,1,text,21,9,primary_confirmatory
baby-u1591-i55,1591,55,text,A,text,text,A,text,text,A,text,text,text,0.764705882,0.644665978,0.0814479638,21,0,0,1,text,21,1,primary_confirmatory
baby-u1592-i55,1592,55,text,A,text,text,A,text,text,A,text,text,text,0.881355932,0.758984978,0.0967861443,21,0,0,1,text,21,8,primary_confirmatory
baby-u1619-i126,1619,126,text,A,text,text,A,text,text,A,text,text,text,0.568627451,0.578909896,0.223039216,21,0,0,1,text,21,8,primary_confirmatory
baby-u1684-i62,1684,62,text,A,text,text,A,text,text,A,text,text,text,0.647058824,0.621810111,0.247678019,21,0,0,1,text,21,3,primary_confirmatory
baby-u1700-i5703,1700,5703,text,A,text,text,A,text,text,A,text,text,text,0.833333333,0.79687602,0.0866666667,21,0,0,1,text,21,4,primary_confirmatory
baby-u1705-i5259,1705,5259,text,A,text,text,A,text,text,A,text,text,text,0.808278867,0.780793998,0.0990570402,21,0,0,1,text,21,8,primary_confirmatory
baby-u1737-i1397,1737,1397,text,A,text,text,A,text,text,A,text,text,text,0.782426778,0.760285802,0.0570793946,21,0,0,1,text,21,3,primary_confirmatory
baby-u1759-i69,1759,69,text,A,text,text,A,text,text,A,text,text,text,0.6875,0.650790929,0.149038462,21,0,0,1,text,21,6,primary_confirmatory
baby-u1762-i6136,1762,6136,text,A,text,text,A,text,text,A,text,text,text,0.842870999,0.81396236,0.0858045361,21,0,0,1,text,21,1,primary_confirmatory
baby-u1825-i1528,1825,1528,text,A,text,text,A,text,text,A,text,text,text,0.818181818,0.761320148,0.103896104,21,0,0,1,text,21,8,primary_confirmatory
baby-u1833-i118,1833,118,text,A,text,text,A,text,text,A,text,text,text,0.683229814,0.641885752,0.167845198,21,0,0,1,text,21,9,primary_confirmatory
baby-u1853-i548,1853,548,text,A,text,text,A,text,text,A,text,text,text,0.769230769,0.697517607,0.117561684,21,0,0,1,text,21,9,primary_confirmatory
baby-u1866-i3946,1866,3946,text,A,text,text,A,text,text,A,text,text,text,0.734939759,0.695155622,0.129848973,21,0,0,1,text,21,5,primary_confirmatory
baby-u1951-i6421,1951,6421,text,A,text,text,A,text,text,A,text,text,text,0.817427386,0.69657443,0.0976206226,21,0,0,1,text,21,2,primary_confirmatory
baby-u2053-i2032,2053,2032,text,A,text,text,A,text,text,A,text,text,text,0.79,0.769480644,0.108305085,21,0,0,1,text,21,3,primary_confirmatory
baby-u2081-i4685,2081,4685,image,A,image,image,A,image,image,A,image,image,image,-0.736625514,-0.670283224,0.195303173,0,21,0,1,image,21,7,primary_confirmatory
baby-u2092-i2546,2092,2546,text,A,text,text,A,text,text,A,text,text,text,0.818181818,0.836829874,0.0568181818,21,0,0,1,text,21,6,primary_confirmatory
baby-u2117-i2114,2117,2114,text,A,text,text,A,text,text,A,text,text,text,0.737704918,0.701953345,0.17533856,21,0,0,1,text,21,2,primary_confirmatory
baby-u2126-i896,2126,896,image,A,image,image,A,image,image,A,image,image,image,-0.592920354,-0.530788782,0.217890457,0,21,0,1,image,21,3,primary_confirmatory
baby-u2146-i4855,2146,4855,text,A,text,text,A,text,text,A,text,text,text,0.727272727,0.649808898,0.172727273,21,0,0,1,text,21,3,primary_confirmatory
baby-u2242-i86,2242,86,text,A,text,text,A,text,text,A,text,text,text,0.719298246,0.662234796,0.154119476,21,0,0,1,text,21,4,primary_confirmatory
baby-u2270-i3512,2270,3512,text,A,text,text,A,text,text,A,text,text,text,0.816513761,0.770203834,0.114993088,21,0,0,1,text,21,5,primary_confirmatory
baby-u2278-i6975,2278,6975,text,A,text,text,A,text,text,A,text,text,text,0.510204082,0.554209538,0.118899734,21,0,0,1,text,21,1,primary_confirmatory
baby-u2295-i4350,2295,4350,text,A,text,text,A,text,text,A,text,text,text,0.846153846,0.769201356,0.153846154,21,0,0,1,text,21,9,primary_confirmatory
baby-u2300-i4350,2300,4350,text,A,text,text,A,text,text,A,text,text,text,0.833333333,0.673196896,0.166666667,21,0,0,1,text,21,9,primary_confirmatory
baby-u2307-i707,2307,707,text,A,text,text,A,text,text,A,text,text,text,0.868480726,0.846456976,0.0610967392,21,0,0,1,text,21,2,primary_confirmatory
baby-u2388-i151,2388,151,text,A,text,text,A,text,text,A,text,text,text,0.8,0.740091947,0.0924731183,21,0,0,1,text,21,6,primary_confirmatory
baby-u2393-i126,2393,126,text,A,text,text,A,text,text,A,text,text,text,0.56097561,0.564091106,0.0609756098,21,0,0,1,text,21,4,primary_confirmatory
baby-u2416-i902,2416,902,text,A,text,text,A,text,text,A,text,text,text,0.663157895,0.644852626,0.077930622,21,0,0,1,text,21,5,primary_confirmatory
baby-u2472-i3433,2472,3433,text,A,text,text,A,text,text,A,text,text,text,0.821428571,0.797916614,0.0341945289,21,0,0,1,text,21,2,primary_confirmatory
baby-u2515-i6667,2515,6667,text,A,text,text,A,text,text,A,text,text,text,0.600849257,0.555529393,0.155019288,21,0,0,1,text,21,9,primary_confirmatory
baby-u2530-i5235,2530,5235,text,A,text,text,A,text,text,A,text,text,text,0.832041344,0.851938089,0.118207413,21,0,0,1,text,21,5,primary_confirmatory
baby-u2586-i2105,2586,2105,text,A,text,text,A,text,text,A,text,text,text,0.866666667,0.862125183,0.0582480091,21,0,0,1,text,21,6,primary_confirmatory
baby-u2668-i7004,2668,7004,text,A,text,text,A,text,text,A,text,text,text,0.737704918,0.693125497,0.161947342,21,0,0,1,text,21,8,primary_confirmatory
baby-u2672-i6889,2672,6889,text,A,text,text,A,text,text,A,text,text,text,0.75,0.763945578,0.15,21,0,0,1,text,21,5,primary_confirmatory
baby-u2688-i5200,2688,5200,text,A,text,text,A,text,text,A,text,text,text,0.857142857,0.859498656,0.0803571429,21,0,0,1,text,21,3,primary_confirmatory
baby-u2714-i6192,2714,6192,text,A,text,text,A,text,text,A,text,text,text,0.62962963,0.604317771,0.097714736,21,0,0,1,text,21,6,primary_confirmatory
baby-u2730-i240,2730,240,text,A,text,text,A,text,text,A,text,text,text,0.829059829,0.806082875,0.0637374909,21,0,0,1,text,21,7,primary_confirmatory
baby-u2749-i544,2749,544,text,A,text,text,A,text,text,A,text,text,text,0.757894737,0.694512452,0.174991169,21,0,0,1,text,21,6,primary_confirmatory
baby-u2774-i225,2774,225,text,A,text,text,A,text,text,A,text,text,text,0.621621622,0.617014886,0.117508813,21,0,0,1,text,21,9,primary_confirmatory
